District,Total,Date
Tiruppur,76760,08-04-2021
Tiruvallur,100442,08-04-2021
Tiruvannamalai,49548,08-04-2021
Tiruvarur,22928,08-04-2021
Vellore,94903,08-04-2021
Villupuram,77354,08-04-2021
Virudhunagar,119733,08-04-2021
Ariyalur,45705,08-05-2021
Chengalpattu,272788,08-05-2021
Chennai,1587454,08-05-2021
Coimbatore,436867,08-05-2021
Cuddalore,154533,08-05-2021
Dharmapuri,94328,08-05-2021
Dindigul,147198,08-05-2021
Erode,147907,08-05-2021
Kallakurichi,61557,08-05-2021
Kancheepuram,73592,08-05-2021
Kanniyakumari,126962,08-05-2021
Karur,62159,08-05-2021
Krishnagiri,146570,08-05-2021
Madurai,242653,08-05-2021
Nagapattinam,64036,08-05-2021
Namakkal,156199,08-05-2021
The Nilgiris,147330,08-05-2021
Perambalur,36558,08-05-2021
Pudukkottai,89351,08-05-2021
Ramanathapuram,76444,08-05-2021
Ranipet,50446,08-05-2021
Salem,370530,08-05-2021
Sivagangai,72843,08-05-2021
Tenkasi,66527,08-05-2021
Thanjavur,150322,08-05-2021
Theni,63108,08-05-2021
Thoothukudi,86015,08-05-2021
Tiruchirapalli,229069,08-05-2021
Tirunelveli,80445,08-05-2021
Tirupathur,72468,08-05-2021
Tiruppur,146291,08-05-2021
Tiruvallur,197545,08-05-2021
Tiruvannamalai,88707,08-05-2021
Tiruvarur,48763,08-05-2021
Vellore,178420,08-05-2021
Villupuram,114348,08-05-2021
Virudhunagar,202040,08-05-2021
Ariyalur,24191,09-04-2021
Chengalpattu,146103,09-04-2021
Chennai,907070,09-04-2021
Coimbatore,224654,09-04-2021
Cuddalore,86434,09-04-2021
Dharmapuri,54247,09-04-2021
Dindigul,76375,09-04-2021
Erode,80008,09-04-2021
Kallakurichi,36507,09-04-2021
Kancheepuram,40649,09-04-2021
Kanniyakumari,67942,09-04-2021
Karur,38675,09-04-2021
Krishnagiri,92535,09-04-2021
Madurai,144414,09-04-2021
Nagapattinam,35922,09-04-2021
Namakkal,90764,09-04-2021
The Nilgiris,83800,09-04-2021
Perambalur,22624,09-04-2021
Pudukkottai,48781,09-04-2021
Ramanathapuram,40173,09-04-2021
Ranipet,26152,09-04-2021
Salem,222131,09-04-2021
Sivagangai,42442,09-04-2021
Tenkasi,38383,09-04-2021
Thanjavur,91485,09-04-2021
Theni,32368,09-04-2021
Thoothukudi,43407,09-04-2021
Tiruchirapalli,128849,09-04-2021
Tirunelveli,44244,09-04-2021
Tirupathur,37007,09-04-2021
Tiruppur,80211,09-04-2021
Tiruvallur,103950,09-04-2021
Tiruvannamalai,51277,09-04-2021
Tiruvarur,23502,09-04-2021
Vellore,96659,09-04-2021
Villupuram,79022,09-04-2021
Virudhunagar,122350,09-04-2021
Ariyalur,46285,09-05-2021
Chengalpattu,278670,09-05-2021
Chennai,1595021,09-05-2021
Coimbatore,438752,09-05-2021
Cuddalore,154951,09-05-2021
Dharmapuri,94611,09-05-2021
Dindigul,147251,09-05-2021
Erode,147907,09-05-2021
Kallakurichi,61688,09-05-2021
Kancheepuram,73866,09-05-2021
Kanniyakumari,126962,09-05-2021
Karur,62187,09-05-2021
Krishnagiri,146668,09-05-2021
Madurai,245710,09-05-2021
Nagapattinam,64125,09-05-2021
Namakkal,156199,09-05-2021
The Nilgiris,147828,09-05-2021
Perambalur,36670,09-05-2021
Pudukkottai,89599,09-05-2021
Ramanathapuram,76590,09-05-2021
Ranipet,50579,09-05-2021
Salem,370759,09-05-2021
Sivagangai,73053,09-05-2021
Tenkasi,66865,09-05-2021
Thanjavur,150622,09-05-2021
Theni,63137,09-05-2021
Thoothukudi,86337,09-05-2021
Tiruchirapalli,229504,09-05-2021
Tirunelveli,80494,09-05-2021
Tirupathur,72655,09-05-2021
Tiruppur,146434,09-05-2021
Tiruvallur,198036,09-05-2021
Tiruvannamalai,88854,09-05-2021
Tiruvarur,49309,09-05-2021
Vellore,178466,09-05-2021
Villupuram,114487,09-05-2021
Virudhunagar,202395,09-05-2021
Ariyalur,25041,10-04-2021
Chengalpattu,152807,10-04-2021
Chennai,936471,10-04-2021
Coimbatore,238408,10-04-2021
Cuddalore,89894,10-04-2021
Dharmapuri,55953,10-04-2021
Dindigul,79699,10-04-2021
Erode,83124,10-04-2021
Kallakurichi,37564,10-04-2021
Kancheepuram,42133,10-04-2021
Kanniyakumari,70780,10-04-2021
Karur,39940,10-04-2021
Krishnagiri,95243,10-04-2021
Madurai,148788,10-04-2021
Nagapattinam,37082,10-04-2021
Namakkal,93758,10-04-2021
The Nilgiris,86403,10-04-2021
Perambalur,23136,10-04-2021
Pudukkottai,49969,10-04-2021
Ramanathapuram,41839,10-04-2021
Ranipet,27674,10-04-2021
Salem,229274,10-04-2021
Sivagangai,43723,10-04-2021
Tenkasi,39354,10-04-2021
Thanjavur,94677,10-04-2021
Theni,33898,10-04-2021
Thoothukudi,45117,10-04-2021
Tiruchirapalli,133593,10-04-2021
Tirunelveli,46284,10-04-2021
Tirupathur,38777,10-04-2021
Tiruppur,84225,10-04-2021
Tiruvallur,108250,10-04-2021
Tiruvannamalai,52809,10-04-2021
Tiruvarur,24073,10-04-2021
Vellore,97619,10-04-2021
Villupuram,80274,10-04-2021
Virudhunagar,125212,10-04-2021
Ariyalur,47334,10-05-2021
Chengalpattu,282399,10-05-2021
Chennai,1610219,10-05-2021
Coimbatore,444201,10-05-2021
Cuddalore,157243,10-05-2021
Dharmapuri,96041,10-05-2021
Dindigul,150276,10-05-2021
Erode,151343,10-05-2021
Kallakurichi,62727,10-05-2021
Kancheepuram,75009,10-05-2021
Kanniyakumari,130329,10-05-2021
Karur,63339,10-05-2021
Krishnagiri,149937,10-05-2021
Madurai,249851,10-05-2021
Nagapattinam,64962,10-05-2021
Namakkal,161627,10-05-2021
The Nilgiris,151492,10-05-2021
Perambalur,37315,10-05-2021
Pudukkottai,90932,10-05-2021
Ramanathapuram,77554,10-05-2021
Ranipet,51053,10-05-2021
Salem,375058,10-05-2021
Sivagangai,74507,10-05-2021
Tenkasi,67818,10-05-2021
Thanjavur,153477,10-05-2021
Theni,64064,10-05-2021
Thoothukudi,87615,10-05-2021
Tiruchirapalli,232911,10-05-2021
Tirunelveli,81498,10-05-2021
Tirupathur,73442,10-05-2021
Tiruppur,151672,10-05-2021
Tiruvallur,200314,10-05-2021
Tiruvannamalai,90201,10-05-2021
Tiruvarur,50320,10-05-2021
Vellore,179397,10-05-2021
Villupuram,116004,10-05-2021
Virudhunagar,204935,10-05-2021
Ariyalur,48197,11-05-2021
Chengalpattu,285401,11-05-2021
Chennai,1623657,11-05-2021
Coimbatore,455591,11-05-2021
Cuddalore,158996,11-05-2021
Dharmapuri,96394,11-05-2021
Dindigul,151688,11-05-2021
