District,Total,Date,Population,Vac,,,,,
Tiruchirapalli,2185,03-05-2021,"16,65,253",131.2112934,,,,,
Tirunelveli,793,03-05-2021,"24,02,781",33.00342395,,,,,
Tirupathur,473,03-05-2021,"17,38,376",27.2093034,,,,,
Tiruppur,1853,03-05-2021,"11,11,812",166.6648678,,,,,
Tiruvallur,2634,03-05-2021,"37,25,697",70.69818077,,,,,
Tiruvannamalai,944,03-05-2021,"12,68,094",74.44243092,,,,,
Tiruvarur,1130,03-05-2021,"24,68,965",45.76816601,,,,,
Vellore,1432,03-05-2021,"16,14,242",88.71036685,,,,,
Villupuram,2386,03-05-2021,"20,93,003",113.998881,,,,,
Virudhunagar,2433,03-05-2021,"19,43,309",125.1988232,,,,,
Ariyalur,22241,04-04-2021,"7,52,481",2955.689247,,,,,
Chengalpattu,128542,04-04-2021,"25,56,244",5028.5497,,,,,
Chennai,820931,04-04-2021,"71,00,000",11562.40845,,,,,
Coimbatore,207565,04-04-2021,"34,72,578",5977.259546,,,,,
Cuddalore,77323,04-04-2021,"26,00,880",2972.955307,,,,,
Dharmapuri,50994,04-04-2021,"15,02,900",3393.040122,,,,,
Dindigul,67213,04-04-2021,"21,61,367",3109.744898,,,,,
Erode,70921,04-04-2021,"22,59,608",3138.641747,,,,,
Kallakurichi,33083,04-04-2021,"13,70,281",2414.322318,,,,,
Kancheepuram,36838,04-04-2021,"11,66,401",3158.262039,,,,,
Kanniyakumari,60859,04-04-2021,"18,63,178",3266.408255,,,,,
Karur,35358,04-04-2021,"10,76,588",3284.264733,,,,,
Krishnagiri,84570,04-04-2021,"18,83,731",4489.494519,,,,,
Madurai,128691,04-04-2021,"39,91,038",3224.499491,,,,,
Nagapattinam,32355,04-04-2021,"16,14,069",2004.561143,,,,,
Namakkal,82952,04-04-2021,"7,35,071",11284.89629,,,,,
The Nilgiris,74332,04-04-2021,"24,71,222",3007.904591,,,,,
Perambalur,21208,04-04-2021,"17,21,179",1232.17864,,,,,
Pudukkottai,43939,04-04-2021,"5,64,511",7783.550719,,,,,
Ramanathapuram,34435,04-04-2021,"19,18,725",1794.681364,,,,,
Ranipet,23905,04-04-2021,"13,37,560",1787.209546,,,,,
Salem,198947,04-04-2021,"12,10,277",16438.13772,,,,,
Sivagangai,37979,04-04-2021,"34,80,008",1091.348066,,,,,
Tenkasi,34885,04-04-2021,"13,41,250",2600.931966,,,,,
Thanjavur,81683,04-04-2021,"14,07,627",5802.886702,,,,,
Theni,28668,04-04-2021,"27,13,858",1056.355933,,,,,
Thoothukudi,38414,04-04-2021,"12,43,684",3088.726718,,,,,
Tiruchirapalli,116453,04-04-2021,"16,65,253",6993.111557,,,,,
Tirunelveli,39109,04-04-2021,"24,02,781",1627.655621,,,,,
Tirupathur,32358,04-04-2021,"17,38,376",1861.392472,,,,,
Tiruppur,69694,04-04-2021,"11,11,812",6268.505827,,,,,
Tiruvallur,93062,04-04-2021,"37,25,697",2497.841344,,,,,
Tiruvannamalai,46282,04-04-2021,"12,68,094",3649.729436,,,,,
Tiruvarur,21832,04-04-2021,"24,68,965",884.2571685,,,,,
Vellore,90526,04-04-2021,"16,14,242",5607.957171,,,,,
Villupuram,74497,04-04-2021,"20,93,003",3559.335558,,,,,
Virudhunagar,113656,04-04-2021,"19,43,309",5848.580951,,,,,
Ariyalur,43268,04-05-2021,"7,52,481",5750.045516,,,,,
Chengalpattu,260895,04-05-2021,"25,56,244",10206.18533,,,,,
Chennai,1513248,04-05-2021,"71,00,000",21313.35211,,,,,
Coimbatore,424742,04-05-2021,"34,72,578",12231.31633,,,,,
Cuddalore,146798,04-05-2021,"26,00,880",5644.16659,,,,,
Dharmapuri,88796,04-05-2021,"15,02,900",5908.3106,,,,,
Dindigul,140753,04-05-2021,"21,61,367",6512.221201,,,,,
Erode,143298,04-05-2021,"22,59,608",6341.719449,,,,,
Kallakurichi,57101,04-05-2021,"13,70,281",4167.101492,,,,,
Kancheepuram,69505,04-05-2021,"11,66,401",5958.928362,,,,,
Kanniyakumari,122168,04-05-2021,"18,63,178",6556.968792,,,,,
Karur,58169,04-05-2021,"10,76,588",5403.088275,,,,,
Krishnagiri,136473,04-05-2021,"18,83,731",7244.824234,,,,,
Madurai,233264,04-05-2021,"39,91,038",5844.695039,,,,,
Nagapattinam,60006,04-05-2021,"16,14,069",3717.684932,,,,,
Namakkal,145846,04-05-2021,"7,35,071",19841.07658,,,,,
The Nilgiris,136671,04-05-2021,"24,71,222",5530.502723,,,,,
Perambalur,34942,04-05-2021,"17,21,179",2030.120051,,,,,
Pudukkottai,84259,04-05-2021,"5,64,511",14926.01561,,,,,
Ramanathapuram,72763,04-05-2021,"19,18,725",3792.25788,,,,,
Ranipet,47657,04-05-2021,"13,37,560",3562.980352,,,,,
Salem,354015,04-05-2021,"12,10,277",29250.74177,,,,,
Sivagangai,68513,04-05-2021,"34,80,008",1968.759842,,,,,
Tenkasi,62776,04-05-2021,"13,41,250",4680.410065,,,,,
Thanjavur,144773,04-05-2021,"14,07,627",10284.89792,,,,,
Theni,60317,04-05-2021,"27,13,858",2222.555491,,,,,
Thoothukudi,81571,04-05-2021,"12,43,684",6558.820408,,,,,
Tiruchirapalli,219081,04-05-2021,"16,65,253",13156.01894,,,,,
Tirunelveli,75325,04-05-2021,"24,02,781",3134.909091,,,,,
Tirupathur,69113,04-05-2021,"17,38,376",3975.722168,,,,,
